,CNS,amnioserosa,epidermis,fat body,foregut,hindgut,midgut,muscle,oenocyte,plasmatocytes,proventriculus,salivary gland,sensory nervous system,tracheal system,ubiquitous,yolk nuclei
E16-18h_a_S06_4100x113740-slice5,1.9780494e-18,2.4282021e-18,0.6564436,0.018530207,3.566814e-10,3.7036677e-18,1.3430641e-05,1.7582398e-18,9.780446e-11,5.5559844e-18,2.4182195e-10,1.4411282e-07,2.8364526e-18,2.9991387e-18,0.32501256,1.5219217e-16
E16-18h_a_S06_4100x113760-slice5,1.084267e-16,1.0246815e-16,0.7394288,0.02640178,7.0052977e-09,9.8339136e-17,0.012038929,3.797318e-17,2.395364e-09,1.7377705e-16,7.963839e-09,5.9045036e-08,1.05511334e-16,9.637088e-17,0.2221304,1.5284276e-14
E16-18h_a_S06_4100x113780-slice5,3.7929656e-17,3.972538e-17,0.40019414,2.7178014e-05,3.1409581e-07,3.5375914e-17,3.9031445e-07,2.2272531e-17,4.1703835e-10,7.6288115e-17,2.8948972e-09,2.029228e-07,4.2139138e-17,4.3551307e-17,0.5997779,2.8104805e-16
E16-18h_a_S06_4100x113800-slice5,1.1027833e-16,9.2303536e-17,0.20306367,0.11832098,7.839116e-08,4.3707684e-17,1.7895023e-05,6.354601e-18,3.1467703e-10,1.9155546e-16,3.1766913e-08,1.7242789e-09,8.3076866e-17,7.3816843e-17,0.67859733,4.171941e-15
E16-18h_a_S06_4100x113820-slice5,1.0986883e-15,8.0174437e-16,0.11321913,0.29033387,3.986299e-05,2.7022474e-16,0.011790499,2.9418103e-17,7.2954506e-08,1.4210493e-15,2.9706098e-07,2.055002e-11,6.441435e-16,5.489511e-16,0.5846163,3.457127e-14
E16-18h_a_S06_4100x113840-slice5,2.7388423e-15,1.740675e-15,0.06152873,0.124634184,9.044839e-06,5.0883514e-16,0.3016558,5.862734e-17,2.8433298e-09,2.8625404e-15,1.2033349e-06,1.0559673e-09,1.290253e-15,1.0154082e-15,0.51217103,2.9195477e-13
E16-18h_a_S06_4100x113860-slice5,4.9517554e-18,3.2502784e-18,0.23224331,3.0592415e-07,2.7962398e-07,9.548687e-19,0.2590415,2.876369e-19,1.1857392e-09,4.6043594e-18,1.2518677e-08,4.2202557e-09,2.4566698e-18,1.8909448e-18,0.50871456,5.586412e-16
E16-18h_a_S06_4100x113880-slice5,2.8529906e-17,1.6853959e-17,0.1997766,4.850813e-10,0.0005329986,5.033215e-18,0.40859893,3.5262383e-18,1.1370271e-06,2.0494128e-17,2.3622144e-09,3.1786843e-08,1.2405211e-17,9.5347645e-18,0.3910903,5.595868e-16
E16-18h_a_S06_4100x113900-slice5,4.819913e-17,3.880273e-17,0.3524089,2.7135159e-06,2.9300702e-08,2.1800266e-17,0.1223325,1.8235312e-17,1.5398805e-07,6.4235326e-17,2.1832416e-07,8.816153e-07,3.4573536e-17,2.7899455e-17,0.5252546,5.0658576e-15
E16-18h_a_S06_4100x113920-slice5,1.3392016e-17,1.2444175e-17,0.7234304,7.0554035e-10,8.135642e-08,1.073717e-17,0.06465054,1.36682936e-17,4.238641e-08,1.5991868e-17,9.427065e-08,4.4640856e-06,1.2624383e-17,1.11856086e-17,0.2119144,4.7046693e-16
