,CNS,amnioserosa,epidermis,fat body,foregut,hindgut,midgut,muscle,oenocyte,plasmatocytes,proventriculus,salivary gland,sensory nervous system,tracheal system,ubiquitous,yolk nuclei
E16-18h_a_S01_15080x106660-slice0,1.477684e-05,0.0008008031,0.04007776,0.26446652,9.4250464e-07,5.0637736e-05,0.058278263,0.293394,0.024029253,0.00091952266,0.13402966,0.00050677086,2.089748e-06,0.030101972,5.8500154e-06,0.15332118
E16-18h_a_S01_15080x106680-slice0,6.5091303e-06,2.014445e-06,0.009513254,0.20503262,3.1731438e-06,1.31996385e-05,0.0013718269,0.27931994,0.028073125,0.1062093,0.22572356,0.0072010388,3.45347e-06,0.0011047227,0.000119124175,0.13630313
E16-18h_a_S01_15080x106700-slice0,4.1121163e-07,5.97751e-07,7.2227554e-06,0.28199828,4.6988838e-08,3.0415997e-10,0.00030535166,0.6065978,5.0610975e-05,7.517949e-05,0.07391145,0.0006801452,9.608072e-08,4.2384368e-08,2.0671137e-06,0.03637064
E16-18h_a_S01_15080x106720-slice0,7.640654e-07,4.560799e-05,6.5561826e-06,0.22903045,1.585566e-08,3.4543712e-06,0.0046070833,0.48569092,8.726376e-05,0.021248873,0.13102898,0.00019031495,5.288021e-07,8.987733e-07,1.6901686e-06,0.12805659
E16-18h_a_S01_15080x106740-slice0,8.274484e-09,0.049431622,2.153076e-09,0.0141020175,9.325669e-06,6.687753e-06,0.24106276,9.7639066e-05,1.0742822e-05,0.22448552,0.30144775,0.0073207417,2.359681e-07,2.9543974e-06,2.5950861e-08,0.16202195
E16-18h_a_S01_15080x106760-slice0,1.185307e-05,0.032025713,3.0860198e-07,0.070935294,0.00017155973,8.1726014e-08,0.39259705,0.00030488527,1.7787938e-06,0.21715704,0.083070874,0.032884397,2.7840874e-06,9.4088807e-07,1.1806271e-07,0.17083533
E16-18h_a_S01_15080x106780-slice0,3.0848946e-09,2.8036453e-05,1.4127834e-08,0.06410148,0.09676987,4.2456206e-05,0.44919395,3.038615e-07,3.0578963e-06,0.0014166477,0.18990119,0.042675354,7.607452e-09,8.7411644e-07,4.2967358e-07,0.15586634
E16-18h_a_S01_15080x106800-slice0,9.660756e-05,4.0585614e-06,2.135252e-09,0.00063241005,1.6013391e-05,4.808131e-07,0.6920541,3.418864e-10,0.00010005231,1.6139295e-05,0.17710494,0.07262569,1.5294883e-07,1.1401556e-06,3.9045934e-13,0.057348188
E16-18h_a_S01_15080x106820-slice0,0.098146416,0.08331027,1.3908443e-05,0.0006510412,8.366637e-07,7.608619e-06,0.16248883,4.19361e-09,0.016619958,0.051751915,0.27490413,0.064751744,1.3884528e-06,0.000144319,7.589423e-15,0.24720769
E16-18h_a_S01_15080x106840-slice0,0.06494897,0.22764656,7.634943e-07,0.029164715,0.00018094518,8.502745e-05,0.1322238,1.3335534e-07,0.04499637,0.0751099,0.08506598,0.061841365,9.872283e-06,0.00012382057,5.841015e-09,0.27860177
E16-18h_a_S01_15080x106860-slice0,0.331958,0.13673368,4.312747e-05,0.06760628,0.00013087314,0.00024993555,0.12497332,2.4842544e-09,0.00013335056,0.0340093,0.0011740945,0.064848594,1.8644566e-06,0.049824815,7.3826067e-07,0.188312
E16-18h_a_S01_15080x106880-slice0,0.6298025,0.0005393787,1.9169624e-05,7.6714925e-05,8.53995e-06,4.7698024e-05,0.00014063565,3.9415762e-10,3.7919892e-07,0.051363293,0.054468673,0.06556909,2.3339555e-06,0.043466564,1.4526915e-07,0.1544948
E16-18h_a_S01_15080x106900-slice0,0.46292487,0.0052742283,0.02660402,0.00021037304,2.3918863e-06,0.00060841703,0.006954606,5.9019076e-08,0.00042239804,0.060381077,0.1751952,0.06864533,0.0006572261,0.052043412,8.211154e-09,0.14007643
E16-18h_a_S01_15080x106920-slice0,0.55808944,0.06688377,6.805554e-05,2.7732067e-05,4.6793465e-07,5.4699547e-05,0.07707593,2.2288654e-07,8.267052e-05,0.00065981725,0.08346005,0.017040983,0.03809971,0.10181914,1.2935391e-06,0.05663597
E16-18h_a_S01_15080x106940-slice0,0.73879266,0.00012259222,0.014738861,2.1417698e-05,1.3620721e-05,7.18942e-08,0.05968709,1.6640827e-07,2.2839606e-07,0.019311415,0.009598317,0.03299172,0.10143573,0.006297657,9.481481e-07,0.016987422
E16-18h_a_S01_15080x106960-slice0,0.72126925,0.14612186,0.048578635,7.216465e-08,2.6595342e-07,0.0002204986,0.059631467,4.460687e-05,0.0005388807,2.1211728e-05,0.00066315546,0.02027946,0.0023049684,0.00010984309,0.00013800384,7.782753e-05
E16-18h_a_S01_15080x106980-slice0,0.6361895,0.0005243638,0.29037088,4.9261545e-12,7.9358364e-07,2.25036e-05,0.00023975276,0.05929873,0.00020393719,1.1311431e-05,7.519535e-07,0.0016164414,0.00010068922,1.6454534e-05,6.3634993e-06,0.011397435
E16-18h_a_S01_15080x107000-slice0,0.35191137,3.6608772e-06,0.5293364,2.6081235e-09,0.00013228746,6.079048e-07,6.5045588e-06,0.01628022,3.548201e-05,0.00046033048,0.00047759552,0.0085302135,0.013686107,0.00045088044,3.9822476e-06,0.07868438
E16-18h_a_S01_15080x107020-slice0,0.4213568,7.1199785e-05,0.4381316,9.130108e-08,2.8191523e-06,2.4490244e-05,0.10515096,0.010297028,0.008147226,0.0001135415,1.0218131e-05,0.016311182,0.00014019126,5.0318144e-05,2.3988918e-08,0.00019231734
E16-18h_a_S01_15080x107040-slice0,0.38959122,0.017922835,0.34931433,1.0887498e-07,4.119235e-06,0.000121591474,0.0006619795,0.026565,5.2124683e-06,0.027243778,1.5031542e-07,0.009811624,0.0005897568,8.200359e-05,0.071019016,0.107067265
E16-18h_a_S01_15080x107060-slice0,0.40564063,0.20415056,0.16013843,2.062527e-06,1.7216737e-05,4.7128877e-05,0.04727553,0.00020855363,0.00020972213,3.6421778e-05,7.764341e-05,0.031093374,0.13787888,9.008306e-05,4.4663716e-07,0.013133349
E16-18h_a_S01_15080x107080-slice0,0.2679729,3.1442043e-05,0.19049552,3.3534336e-06,6.5294225e-05,0.0863622,2.2824735e-05,0.18945332,2.1816923e-06,0.10660759,1.160661e-06,0.0053711315,0.0003845008,7.870994e-05,0.0006923024,0.15245561
E16-18h_a_S01_15080x107100-slice0,0.45749488,0.00016365686,0.2818334,0.0003056354,1.345004e-07,6.800585e-06,0.033248127,0.0282617,2.3122377e-05,0.08951729,0.020104317,5.4004962e-05,0.00014805484,0.010917603,0.0004900446,0.077431254
E16-18h_a_S01_15100x106620-slice0,1.0772313e-08,1.01927935e-05,0.09064787,0.0071057286,6.2834465e-07,0.00011706559,0.11274436,0.4032736,1.6735936e-05,0.00066155277,0.046435773,1.8929398e-06,4.511015e-06,0.00040971287,0.0021558802,0.3364144
E16-18h_a_S01_15100x106640-slice0,3.7411766e-08,7.820424e-07,0.016064813,0.29738393,1.0817722e-09,0.00032159098,0.12973855,0.33758244,0.00028899487,0.060536053,0.0013508076,0.02051461,1.0957846e-07,6.947183e-05,0.00026445044,0.13588327
E16-18h_a_S01_15100x106660-slice0,2.9279914e-07,0.0001684988,0.023981951,0.21827142,1.8608802e-07,6.867679e-05,0.12781234,0.29558462,0.0068901833,3.8973394e-05,0.11932137,0.00033425962,8.749054e-06,0.084425285,6.5559766e-06,0.12308667
E16-18h_a_S01_15100x106680-slice0,2.1037633e-07,6.0141197e-06,0.029418884,0.23025586,1.794755e-07,1.3994078e-07,0.074674554,0.2235252,0.000118444805,4.7569687e-05,0.19367936,0.004561102,9.827345e-07,2.1815156e-05,0.0032514848,0.24043821
E16-18h_a_S01_15100x106700-slice0,2.8968141e-09,5.3324283e-09,1.0145314e-05,0.084260315,5.790457e-10,9.73063e-07,0.02531384,0.6526504,9.799791e-06,0.00018918772,0.094974615,8.3757495e-06,1.0167999e-07,2.92812e-07,3.403301e-06,0.14257854
E16-18h_a_S01_15100x106720-slice0,2.1681689e-07,0.0011082232,1.3761972e-08,0.07758842,4.085358e-08,2.646591e-07,0.01731951,0.59686756,0.0005167569,0.0013837153,0.042440046,3.6288031e-06,7.912824e-08,7.546817e-07,1.5793414e-06,0.26276916
E16-18h_a_S01_15100x106740-slice0,5.78927e-07,0.16756772,2.1011272e-06,0.057374835,4.5710843e-07,7.191192e-06,0.31373733,6.076912e-05,4.7934947e-05,0.24954364,0.015860816,0.005295578,4.121274e-07,4.8205925e-07,6.747969e-05,0.19043265
E16-18h_a_S01_15100x106760-slice0,1.42601975e-08,0.017318625,1.6337776e-07,0.024209255,0.0002330797,1.875985e-05,0.5246125,1.1002327e-05,1.2072398e-06,0.14005585,0.08445015,0.018855445,7.340888e-08,1.2716546e-07,6.751421e-06,0.19022706
E16-18h_a_S01_15100x106780-slice0,3.970524e-07,1.7949534e-06,1.0909125e-09,0.03152016,3.285737e-05,0.0001932841,0.82273614,4.3532298e-09,8.5646445e-07,0.0004074356,0.09699837,0.025066873,1.6158577e-08,2.7926484e-07,1.1603683e-07,0.023041429
E16-18h_a_S01_15100x106800-slice0,6.18904e-10,7.292559e-07,1.6390824e-09,1.2404497e-07,2.3040138e-07,2.462106e-07,0.74411315,1.9964677e-09,1.5606303e-06,0.000105291634,0.22688521,0.0006809676,4.2643857e-09,1.7701737e-08,2.3800215e-12,0.028212516
E16-18h_a_S01_15100x106820-slice0,0.06466989,0.0013445073,6.0135903e-07,0.03781898,4.843516e-07,0.0005626497,0.19001141,1.0019736e-07,0.05867909,0.022552904,0.39635974,0.030964393,0.00030678103,9.924403e-07,8.187713e-13,0.19672747
E16-18h_a_S01_15100x106840-slice0,0.00026093653,0.08451551,1.8701962e-06,0.07560825,0.00018336275,0.09240207,0.0812887,3.037586e-08,0.06807113,0.09551325,0.26693326,0.05245756,0.00033970218,0.05067839,2.1710291e-09,0.131746
E16-18h_a_S01_15100x106860-slice0,0.3625221,0.12700117,1.1601101e-08,0.010758509,6.560111e-06,0.18264654,0.0013610228,1.1837712e-06,0.000110275025,0.00096122286,0.15211353,0.042776544,0.0011589696,0.000318684,1.1079244e-05,0.11825262
E16-18h_a_S01_15100x106880-slice0,0.64188707,4.955017e-05,2.457081e-05,1.9189934e-05,1.817466e-09,1.153553e-05,4.1263425e-05,2.236647e-09,8.162145e-05,0.000180544,0.2727323,0.01751908,6.1352966e-06,3.611143e-06,4.6313104e-08,0.06744349
E16-18h_a_S01_15100x106900-slice0,0.64835954,0.061016414,0.007983039,7.3821815e-07,7.3883475e-06,5.8782345e-05,0.03463923,5.2464923e-08,0.043095484,1.1863963e-05,0.043311406,0.03971464,0.0008680308,0.00049641024,1.0821785e-06,0.1204359
E16-18h_a_S01_15100x106920-slice0,0.6708857,0.0002150918,0.00018386693,4.8120073e-06,7.6381916e-08,1.1549665e-08,0.13353316,1.7143625e-08,0.011763058,4.863702e-05,0.04807479,0.02210505,0.001256373,6.906869e-07,2.3256333e-11,0.111928746
E16-18h_a_S01_15100x106940-slice0,0.68677086,0.009992294,0.0167903,2.9413088e-05,8.5829726e-07,7.0364734e-07,0.0618143,1.846696e-06,4.199671e-05,2.1881863e-06,0.14612772,0.035747234,0.0010859394,2.5461242e-07,0.00021939808,0.041374676
E16-18h_a_S01_15100x106960-slice0,0.63779336,8.367109e-05,0.026148638,2.7208205e-07,2.6262046e-07,2.3270036e-07,0.0001707696,9.302162e-06,5.2692143e-05,1.3610921e-07,0.0003293551,0.001191611,0.32260665,5.3173144e-06,7.5580183e-06,0.011600119
E16-18h_a_S01_15100x106980-slice0,0.5938776,0.00019140022,0.12500589,9.6073594e-11,1.5745862e-06,4.721602e-05,0.00035597448,3.9748365e-06,0.013525706,9.226368e-10,0.12994151,0.00041494085,0.04001206,3.728656e-07,0.09657749,4.4217657e-05
E16-18h_a_S01_15100x107000-slice0,0.32897195,6.446427e-05,0.44517967,1.4548775e-10,8.974181e-09,2.8196939e-05,0.028241225,0.00030894947,8.914166e-05,6.6050353e-07,2.7501628e-05,0.038249925,0.1582737,0.00015796073,1.1048595e-06,0.00040550093
